"Pathways"	"Common-Name"
PWY-5154	"L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)"
PWY-7159	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)"
PWY-2463	"(-)-medicarpin biosynthesis"
PWY-2601	"isethionate degradation"
PWY-6431	"4-hydroxybenzoate biosynthesis IV (plants)"
PWY-5825	"dalpatein and dalnigrein biosynthesis"
PWY-7465	"3,3'-thiodipropanoate degradation"
PWY-5993	"superpathway of rifamycin B biosynthesis"
ARGSYNBSUB-PWY	"L-arginine biosynthesis II (acetyl cycle)"
PWY-7145	"genistin gentiobioside biosynthesis"
SULFATE-CYS-PWY	"superpathway of sulfate assimilation and cysteine biosynthesis"
PWY-6593	"sulfoacetate degradation"
PWY-5755	"4-hydroxybenzoate biosynthesis II (bacteria)"
PWY-2762	"glyceollin biosynthesis"
PWY-6050	"dimethyl sulfoxide degradation"
PWY-7000	"kanamycin biosynthesis"
PWY-7400	"L-arginine biosynthesis IV (archaebacteria)"
PWY-2002	"isoflavonoid biosynthesis I"
PWY-6321	"homotaurine degradation"
PWY-6946	"cholesterol degradation to androstenedione II (cholesterol dehydrogenase)"
PWY-5754	"4-hydroxybenzoate biosynthesis I (eukaryotes)"
PWY-3042	"phaseollin biosynthesis"
PWY-6642	"(<i>R</i>)-cysteate degradation"
PWY-7483	"elloramycin biosynthesis"
PWY-6947	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)"
PWY-2229	"superpathway of pterocarpan biosynthesis (via formononetin)"
ALKANEMONOX-PWY	"two-component alkanesulfonate monooxygenase"
PWY-6928	"superpathway of cholesterol degradation I (cholesterol oxidase)"
PWY-6945	"cholesterol degradation to androstenedione I (cholesterol oxidase)"
PWY-4681	"kievitone biosynthesis"
PWY-7462	"3,3'-disulfanediyldipropannoate degradation"
PWY-7702	"sch210971 and sch210972 biosynthesis"
PWY-5260	"methanogenesis from methylthiopropanoate"
PWY-5821	"dalcochinin biosynthesis"
PWY-2467	"(+)-pisatin biosynthesis"
PWY-7898	"4,4'-disulfanediyldibutanoate degradation"
PWY-7863	"roseoflavin biosynthesis"
ASPARAGINE-DEG1-PWY-1	"L-asparagine degradation III (mammalian)"
PWY-6332	"coumestrol biosynthesis"
PWY-6044	"methanesulfonate degradation"
PWY-5342	"ajugose biosynthesis I (galactinol-dependent)"
PWY-2761	"(-)-glycinol biosynthesis"
PWY-6072	"superpathway of dimethylsulfone degradation"
PWY-5633	"cephamycin C biosynthesis"
ASPARAGINE-DEG1-PWY	"L-asparagine degradation I"
PWY-2083	"isoflavonoid biosynthesis II"
PWY-6634	"3-sulfopropanediol degradation"
PWY-5343	"ajugose biosynthesis II (galactinol-independent)"
PWY-5258	"methanogenesis from dimethylsulfide"
PWY-4502	"wighteone and luteone biosynthesis"
PWY-6324	"rebeccamycin biosynthesis"
PWY-4002	"L-asparagine degradation II"
PWY-2941	"L-lysine biosynthesis II"
PWY-7793	"dimethyl sulfide biosynthesis from methionine"
PWY-5372	"carbon tetrachloride degradation II"
PWY-6769	"rhamnogalacturonan type I degradation I"
PWY-5097	"L-lysine biosynthesis VI"
SULFMETII-PWY	"assimilatory sulfate reduction II"
PWY-7018	"paromomycin biosynthesis"
PWY-7926	"carbon disulfide oxidation III (metazoa)"
LYSINE-AMINOAD-PWY	"L-lysine biosynthesis IV"
SO4ASSIM-PWY	"assimilatory sulfate reduction I"
PWY-5370	"carbon tetrachloride degradation I"
PWY-6789	"(1,3)-&beta;-D-xylan degradation"
PWY-3081	"L-lysine biosynthesis V"
PWY-5336	"carbon disulfide oxidation II (aerobic)"
PWY-7547	"prodigiosin biosynthesis"
PWY-1164	"carbon disulfide oxidation I (anaerobic)"
DAPLYSINESYN-PWY	"L-lysine biosynthesis I"
PWY-6683	"assimilatory sulfate reduction III"
PWY-6807	"xyloglucan degradation II (exoglucanase)"
PWY-2942	"L-lysine biosynthesis III"
PWY-7718	"actinomycin D biosynthesis"
PWY-6812	"xyloglucan degradation III (cellobiohydrolase)"
PWY-8012	"mupirocin biosynthesis"
ASPARAGINESYN-PWY	"L-asparagine biosynthesis II"
PWY-3542	"choline biosynthesis II"
PWY-3385	"choline biosynthesis I"
PWY-6813	"glucuronoarabinoxylan degradation"
PROUT-PWY	"L-proline degradation"
PWY0-1317	"L-lactaldehyde degradation (aerobic)"
PWY-5737	"(5<i>R</i>)-carbapenem carboxylate biosynthesis"
PWY490-4	"L-asparagine biosynthesis III (tRNA-dependent)"
PWY-3561	"choline biosynthesis III"
PWY-6989	"(-)-camphor degradation"
PWY0-1315	"L-lactaldehyde degradation (anaerobic)"
PWY-8006	"plant arabinogalactan type II degradation"
CAMALEXIN-SYN	"camalexin biosynthesis"
P601-PWY	"(+)-camphor degradation"
PWY-6511	"3-methylarginine biosynthesis"
ASPARAGINE-BIOSYNTHESIS	"L-asparagine biosynthesis I"
PWY-5269	"cardiolipin biosynthesis II"
P542-PWY	"choline-<i>O</i>-sulfate degradation"
PWY-7494	"choline degradation IV"
PWY-862	"fructan degradation"
PWY0-1545	"cardiolipin biosynthesis III"
PWY-6493	"chanoclavine I aldehyde biosynthesis"
PWY-7021	"superpathway of neomycin biosynthesis"
PWY0-1325	"superpathway of L-asparagine biosynthesis"
PWY-7509	"cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)"
PWY-7520	"terrequinone A biosynthesis"
HOMOSERSYN-PWY	"L-homoserine biosynthesis"
PWY-5668	"cardiolipin biosynthesis I"
PWY-6196	"D-serine metabolism"
PWY-7701	"4-hydroxy-4-methyl-L-glutamate biosynthesis"
PWY-7570	"blasticidin S biosynthesis"
ASPSYNII-PWY	"cyanide detoxification I"
ARO-PWY	"chorismate biosynthesis I"
PWY-7649	"3-hydroxy-<i>L</i>-homotyrosine biosynthesis"
PWY-6165	"chorismate biosynthesis II (archaea)"
PWY-6557	"glycosaminoglycan-protein linkage region biosynthesis"
PWY-3061	"menthol biosynthesis"
PWY-5344	"L-homocysteine biosynthesis"
PWY-7735	"echinomycin and triostin A biosynthesis"
PWY-5829	"geraniol and geranial biosynthesis"
PWY-6163	"chorismate biosynthesis from 3-dehydroquinate"
PWY-6936	"seleno-amino acid biosynthesis (plants)"
PWY-5292	"vindoline, vindorosine and vinblastine biosynthesis"
PWY-6566	"chondroitin biosynthesis"
PWY-6436	"perillyl aldehyde biosynthesis"
PWY-7648	"4-methyl-proline biosynthesis"
PWY-8034	"spectinabilin biosynthesis"
PWY-6447	"trichome monoterpenes biosynthesis"
PWY-8072	"alanine racemization"
PWY-5877	"beta-carboline biosynthesis"
PWY-7059	"fumigaclavine biosynthesis"
PWY-6655	"xanthan biosynthesis"
PWY-7182	"linalool biosynthesis I"
PWY-1186	"L-homomethionine biosynthesis"
PWY-5776	"2-hydroxyphenazine biosynthesis"
PWY-6498	"eumelanin biosynthesis"
PWY-7697	"geranyl &beta;-primeveroside biosynthesis"
PWY-6395	"superpathway of seleno-compound metabolism"
PWY-5290	"secologanin and strictosidine biosynthesis"
PWY-5813	"bornyl diphosphate biosynthesis"
PWY-7275	"L-homophenylalanine biosynthesis"
PWY-5467	"gramine biosynthesis"
PWY-6682	"dehydrophos biosynthesis"
PWY-7917	"pheomelanin biosynthesis"
PWY-5928	"(4<i>R</i>)-carvone biosynthesis"
PWY-6495	"ergotamine biosynthesis"
PWY-3981	"&beta;-alanine biosynthesis I"
PWY-6445	"fenchol biosynthesis II"
PWY-5760	"&beta;-alanine biosynthesis IV"
PWY-7532	"acetylaszonalenin biosynthesis"
PWY-7274	"D-cycloserine biosynthesis"
PWY-6481	"L-dopa and L-dopachrome biosynthesis"
PWY-6451	"3-carene biosynthesis"
PWY-3941	"&beta;-alanine biosynthesis II"
PWY-5301	"ajmaline and sarpagine biosynthesis"
PWY-7443	"(4S)-carvone biosynthesis"
PWY-5155	"&beta;-alanine biosynthesis III"
PWY-7219	"adenosine ribonucleotides <i>de novo</i> biosynthesis"
PWY-7653	"griseofulvin biosynthesis"
PWY-7442	"drosopterin and aurodrosopterin biosynthesis"
PWY-5423	"oleoresin monoterpene volatiles biosynthesis"
PWY-3982	"uracil degradation I (reductive)"
PWY-7221	"guanosine ribonucleotides <i>de novo</i> biosynthesis"
PWY-1061	"homogalacturonan biosynthesis"
PWY-5835	"geranyl acetate biosynthesis"
PWY-6124	"inosine-5'-phosphate biosynthesis II"
PWY-7770	"indolmycin biosynthesis"
PWY-8067	"methylphosphonate biosynthesis"
PWY-6437	"fenchol biosynthesis I"
PWY-6123	"inosine-5'-phosphate biosynthesis I"
PWY-7234	"inosine-5'-phosphate biosynthesis III"
PWY-6403	"carrageenan biosynthesis"
PWY-6449	"fenchone biosynthesis"
PWY-5994	"palmitate biosynthesis (animals and fungi, cytoplasm)"
PWY-8038	"naphthomycin biosynthesis"
PWY-6730	"methylhalides biosynthesis (plants)"
PWY-6990	"(+)-camphor biosynthesis"
PWY-5971	"palmitate biosynthesis II (bacteria and plant cytoplasm)"
PWY-7167	"choline degradation III"
PWY-6981	"chitin biosynthesis"
PWY-6991	"(-)-camphor biosynthesis"
ORN-AMINOPENTANOATE-CAT-PWY	"L-ornithine degradation I (L-proline biosynthesis)"
PWY-5929	"puromycin biosynthesis"
PWY-8043	"ophthalmate biosynthesis"
PWY-6344	"L-ornithine degradation II (Stickland reaction)"
CHOLINE-BETAINE-ANA-PWY	"choline degradation I"
PWY-3721	"choline degradation II"
PWY-1001	"cellulose biosynthesis"
CITRULLINE-DEG-PWY	"L-citrulline degradation"
PWY-5332	"sulfur reduction I"
PWY-6722	"candicidin biosynthesis"
PWY-6519	"8-amino-7-oxononanoate biosynthesis I"
PWY-6334	"L-dopa degradation"
PWY-5364	"sulfur reduction II (via polysulfide)"
PWY-7976	"sulfur reduction III"
PWY-5980	"xylogalacturonan biosynthesis"
PWY-4021	"&beta;-alanine betaine biosynthesis"
PWY-7354	"aclacinomycin biosynthesis"
PWY-7147	"8-amino-7-oxononanoate biosynthesis II"
PWY-1781	"&beta;-alanine degradation II"
CITRULBIO-PWY	"L-citrulline biosynthesis"
PWY-6773	"1,3-&beta;-D-glucan biosynthesis"
BETA-ALA-DEGRADATION-I-PWY	"&beta;-alanine degradation I"
PWY-7665	"aureobasidin A biosynthesis"
PWY-6578	"8-amino-7-oxononanoate biosynthesis III"
PWY-5004	"superpathway of L-citrulline metabolism"
PWY-5936	"xyloglucan biosynthesis"
PWY-7810	"chlorotetracycline biosynthesis"
ASPARTATE-DEG1-PWY	"L-aspartate degradation I"
PWY-6658	"acetan biosynthesis"
PWY1A0-6325	"actinorhodin biosynthesis"
MALATE-ASPARTATE-SHUTTLE-PWY	"L-aspartate degradation II"
PWY-822	"fructan biosynthesis"
PWY-5629	"isopenicillin N biosynthesis"
ASPARTATESYN-PWY	"L-aspartate biosynthesis"
PWY-6073	"alginate biosynthesis I (algal)"
PWY-5984	"rifamycin B biosynthesis"
PWY-5040	"theobromine biosynthesis II (via xanthine)"
PWY-7511	"protein ubiquitination"
PWY-6082	"alginate biosynthesis II (bacterial)"
PWY-5039	"theobromine biosynthesis I"
HYDROXYPRODEG-PWY	"<i>trans</i>-4-hydroxy-L-proline degradation I"
PWY-6955	"lincomycin biosynthesis"
PWY-5038	"caffeine biosynthesis II (via paraxanthine)"
PWY-7515	"<i>trans</i>-3-hydroxy-L-proline degradation"
PWY-7798	"protein <i>S</i>-nitrosylation and denitrosylation"
PWY-7884	"lipoprotein posttranslational modification"
PWY-5037	"caffeine biosynthesis I"
PWY-5159	"<i>trans</i>-4-hydroxy-L-proline degradation II"
PWY-7441	"polymyxin A biosynthesis"
PWY-7887	"protein SAMPylation and SAMP-mediated thiolation"
PWY-5924	"limonene degradation II (L-limonene)"
PWY-7893	"protein Pupylation and dePupylation"
PWY-5923	"limonene degradation I (D-limonene)"
PWY-7671	"saframycin A biosynthesis"
PWY-7894	"procollagen hydroxylation and glycosylation"
PWY-8029	"limonene degradation IV (anaerobic)"
PWY-7899	"protein NEDDylation"
PWY-6526	"limonene degradation III (to perillate)"
PWY-7694	"zwittermicin A biosynthesis"
PWY-7942	"5-oxo-L-proline metabolism"
PWY0-1599	"periplasmic disulfide bond formation"
PWY0-301	"L-ascorbate degradation I (bacterial, anaerobic)"
PWY-7821	"tunicamycin biosynthesis"
PWY0-1600	"periplasmic disulfide bond reduction"
PWY-6704	"L-ascorbate degradation IV"
PWY-7435	"mucin core 3 and core 4 <i>O</i>-glycosylation"
PWY-6961	"L-ascorbate degradation II (bacterial, aerobic)"
PWY-7661	"protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)"
PWY-5632	"cephalosporin C biosynthesis"
PWY-7141	"(3<i>S</i>)-linalool biosynthesis"
PWY-6960	"L-ascorbate degradation III"
PWY-7833	"biosynthesis of Lewis epitopes (H. pylori)"
PWY2OL-4	"superpathway of linalool biosynthesis"
PWY-6959	"L-ascorbate degradation V"
PWY-7919	"protein <i>N</i>-glycosylation processing phase (plants and animals)"
PWY-6322	"phosphinothricin tripeptide biosynthesis"
PWY-7709	"(3<i>R</i>)-linalool biosynthesis"
PWY-7922	"protein <I>O</i>-mannosylation II (mammals, core M1 and core M2)"
PWY-7434	"terminal <i>O</i>-glycans residues modification (via type 2 precursor disaccharide)"
PWY-7016	"neomycin biosynthesis"
PWY-7658	"protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)"
PWY-7832	"ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide"
PWY-7510	"rhizocticin A and B biosynthesis"
PWY-7918	"protein <i>N</i>-glycosylation processing phase (yeast)"
PWY-6001	"linoleate biosynthesis II (animals)"
PWY-7921	"protein <I>O</i>-mannosylation I (yeast)"
PWY-5995	"linoleate biosynthesis I (plants)"
PWY-7433	"mucin core 1 and core 2 <i>O</i>-glycosylation"
PWY-7593	"linoleate biosynthesis III (cyanobacteria)"
PWY-7981	"&alpha;-dystroglycan glycosylation"
PWY-7437	"protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation"
PWY-7831	"ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide"
PWY-7837	"i antigen and I antigen biosynthesis"
PWY-7920	"complex <i>N</i>-linked glycan biosynthesis (plants)"
PWY-7426	"complex <i>N</i>-linked glycan biosynthesis (vertebrates)"
PWY-7979	"protein <I>O</i>-mannosylation III (mammals, core M3)"
GLYCOLYSIS	"glycolysis I (from glucose 6-phosphate)"
PWY-6739	"pinitol biosynthesis II"
4AMINOBUTMETAB-PWY	"superpathway of 4-aminobutanoate degradation"
PWY-5484	"glycolysis II (from fructose 6-phosphate)"
PWY-6738	"pinitol biosynthesis I"
ANAGLYCOLYSIS-PWY	"glycolysis III (from glucose)"
PWY-6473	"4-aminobutanoate degradation IV"
PWY-1042	"glycolysis IV (plant cytosol)"
P341-PWY	"glycolysis V (Pyrococcus)"
PWY-6537	"4-aminobutanoate degradation II"
PWY-2841	"cytokinins degradation"
PWY-2881	"cytokinins 7-<i>N</i>-glucoside biosynthesis"
PWY-6536	"4-aminobutanoate degradation III"
PWY-5967	"lupinate biosynthesis"
PWY-6085	"2,4-dichlorophenoxyacetate degradation"
PWY0-1298	"superpathway of pyrimidine deoxyribonucleosides degradation"
PWY-2781	"<i>cis</i>-zeatin biosynthesis"
GLUDEG-I-PWY	"GABA shunt"
PWY-2902	"cytokinin-<i>O</i>-glucosides biosynthesis"
PWY-6086	"4-chloro-2-methylphenoxyacetate degradation"
PWY-2681	"<i>trans</i>-zeatin biosynthesis"
PWY-6535	"4-aminobutanoate degradation I"
PWY-2901	"cytokinins 9-<i>N</i>-glucoside biosynthesis"
PWY-6102	"5-chloro-3-methyl-catechol degradation"
CYSTSYN-PWY	"L-cysteine biosynthesis I"
PWY-7033	"alkane biosynthesis II"
PWY-6293	"superpathway of L-cysteine biosynthesis (fungi)"
PWY-6107	"chlorosalicylate degradation"
PWY-7870	"L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)"
PWY-7032	"alkane biosynthesis I"
PWY-8010	"L-cysteine biosynthesis IX (Trichomonas vaginalis)"
PWY-6178	"2,4,6-trichlorophenol degradation"
PWY-6292	"superpathway of L-cysteine biosynthesis (mammalian)"
PWY-6622	"heptadecane biosynthesis"
PWY-7289	"L-cysteine biosynthesis V (mycobacteria)"
PWY-6197	"chlorinated phenols degradation"
PWY-801	"homocysteine and cysteine interconversion"
HOMOCYSDEGR-PWY	"L-cysteine biosynthesis III (from L-homocysteine)"
PWY-6200	"2,4,5-trichlorophenoxyacetate degradation"
PWY-8009	"L-cysteine biosynthesis VIII (Thermococcus kodakarensis)"
PWY-I9	"L-cysteine biosynthesis VI (from L-methionine)"
PWY-7496	"linuron degradation"
PWY-6341	"guaiacylglycerol-&beta;-guaiacyl ether degradation"
PWY-7512	"3,5,6-trichloro-2-pyridinol degradation"
PWY-5494	"pyruvate fermentation to propanoate II (acrylate pathway)"
PWY0-1546	"muropeptide degradation"
P108-PWY	"pyruvate fermentation to propanoate I"
PWY-7794	"polyethylene terephthalate degradation"
PWY-7771	"butachlor degradation"
PWY-5067	"glycogen biosynthesis II (from UDP-D-Glucose)"
PWY-7823	"chlorzoxazone degradation"
GLYCOGENSYNTH-PWY	"glycogen biosynthesis I (from ADP-D-Glucose)"
PWY-7900	"glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)"
PWY-622	"starch biosynthesis"
PWY-6215	"4-chlorobenzoate degradation"
PWY-6217	"3,4-dichlorobenzoate degradation"
PWY-6221	"2-chlorobenzoate degradation"
PWY-6815	"porphyran degradation"
PWY-6986	"alginate degradation"
PWY-6088	"3-chlorobenzoate degradation I (via chlorocatechol)"
PWY-7828	"cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation"
PWY-6827	"gellan degradation"
PWY-6228	"3-chlorobenzoate degradation III (via gentisate)"
PWY-6397	"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
PWY-7647	"ulvan degradation"
PWY-6654	"phosphopantothenate biosynthesis III (archaebacteria)"
PWY-6816	"agarose degradation"
PWY-6216	"3-chlorobenzoate degradation II (via protocatechuate)"
PWY-6404	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
PWY-3961	"phosphopantothenate biosynthesis II"
PWY-7456	"&beta;-(1,4)-mannan degradation"
PANTO-PWY	"phosphopantothenate biosynthesis I"
PWY-6817	"&lambda;-carrageenan degradation"
PWY-6454	"vancomycin resistance I"
PWY-46	"putrescine biosynthesis III"
PWY-6822	"&iota;-carrageenan degradation"
PWY-43	"putrescine biosynthesis II"
PWY-6821	"&kappa;-carrageenan degradation"
PWY-6084	"3,5-dichlorocatechol degradation"
PWY-6455	"vancomycin resistance II"
CYSTEINE-DEG-PWY	"L-cysteine degradation I"
PWY-40	"putrescine biosynthesis I"
PWY-6305	"superpathway of putrescine biosynthesis"
PWY-5329	"L-cysteine degradation III"
PWY-6087	"4-chlorocatechol degradation"
PWY-6626	"cytidine-5'-diphosphate-glycerol biosynthesis"
LCYSDEG-PWY	"L-cysteine degradation II"
PWY-6093	"4,5-dichlorocatechol degradation"
PWY-7820	"teichuronic acid biosynthesis (<i>B. subtilis</i> 168)"
PWY-7115	"C4 photosynthetic carbon assimilation cycle, NAD-ME type"
PWY-6094	"3,4,6-trichlorocatechol degradation"
PWY-6387	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)"
PHOTOALL-PWY	"oxygenic photosynthesis"
PWY-241	"C4 photosynthetic carbon assimilation cycle, NADP-ME type"
PWY-6089	"3-chlorocatechol degradation I (<i>ortho</i>)"
PWY-6386	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
PWY-181	"photorespiration"
PWY-7117	"C4 photosynthetic carbon assimilation cycle, PEPCK type"
PWY-6665	"pterostilbene biosynthesis"
GLYSYN-PWY	"glycine biosynthesis I"
PWY-6214	"3-chlorocatechol degradation III (<i>meta</i> pathway)"
PWY-7953	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-diaminopimelate containing)"
PWY-5041	"<i>S</i>-adenosyl-L-methionine cycle II"
GLYSYN-ALA-PWY	"glycine biosynthesis III"
PWY-6151	"<i>S</i>-adenosyl-L-methionine cycle I"
GLYCINE-SYN2-PWY	"glycine biosynthesis II"
PWY-6193	"3-chlorocatechol degradation II (<i>ortho</i>)"
GLYSYN-THR-PWY	"glycine biosynthesis IV"
PWY-7635	"kievitone detoxification"
PWY-6587	"pyruvate fermentation to ethanol III"
PWY-5486	"pyruvate fermentation to ethanol II"
PWY-5480	"pyruvate fermentation to ethanol I"
PWY-6103	"3-chlorotoluene degradation I"
PWY-5530	"sorbitol biosynthesis II"
PWY-5534	"propene degradation"
PWY-6441	"spermine and spermidine degradation III"
PWY-6104	"3-chlorotoluene degradation II"
PWY-6724	"starch degradation II"
PWY4FS-8	"phosphatidylglycerol biosynthesis II (non-plastidic)"
PWY-7778	"2-methylpropene degradation"
PWY-6440	"spermine and spermidine degradation II"
PWY4FS-7	"phosphatidylglycerol biosynthesis I (plastidic)"
PWY-6117	"spermine and spermidine degradation I"
PWY-6737	"starch degradation V"
PWY-7777	"isoprene degradation"
PWY-6735	"starch degradation IV"
PWY-7776	"ethene and chloroethene degradation"
PWY-5521	"L-ascorbate biosynthesis III"
PWY-6731	"starch degradation III"
PWY0-1305	"L-glutamate degradation IX (via 4-aminobutanoate)"
PWY-882	"L-ascorbate biosynthesis I (L-galactose pathway)"
PWY-7165	"L-ascorbate biosynthesis VI (engineered pathway)"
PWY-5384	"sucrose degradation IV (sucrose phosphorylase)"
PWY-7027	"hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis"
PWY4FS-11	"L-ascorbate biosynthesis II (L-gulose pathway)"
PWY0-1299	"arginine dependent acid resistance"
PWY66-373	"sucrose degradation V (sucrose &alpha;-glucosidase)"
PWY-7668	"apicidin F biosynthesis"
PWY-6415	"L-ascorbate biosynthesis V"
PWY-3801	"sucrose degradation II (sucrose synthase)"
PWY-7035	"(9<i>Z</i>)-tricosene biosynthesis"
PWY3DJ-35471	"L-ascorbate biosynthesis IV"
PWY-7667	"apicidin biosynthesis"
PWY-7345	"superpathway of anaerobic sucrose degradation"
PWY-7685	"L-malate degradation I"
PWY0-1601	"cadaverine biosynthesis"
PWY-7029	"terminal olefins biosynthesis II"
PWY-4841	"UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)"
SUCUTIL-PWY	"sucrose degradation I (sucrose phosphotransferase)"
PWY-621	"sucrose degradation III (sucrose invertase)"
PWY-6363	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation"
SUCROSEUTIL2-PWY	"sucrose degradation VII (sucrose 3-dehydrogenase)"
PWY-7026	"terminal olefins biosynthesis I"
PWY-5927	"(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation"
PWY-5922	"(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation"
PWY-7869	"<i>cis</i>-alkene biosynthesis"
PWY-4202	"arsenate detoxification I (glutaredoxin)"
PWY-6421	"arsenate detoxification III (mycothiol)"
PWY-3341	"L-proline biosynthesis III (from L-ornithine)"
PWY-5388	"N-glucosylnicotinate metabolism"
PWY-8015	"glycine degradation (Stickland reaction)"
DETOX1-PWY-1	"reactive oxygen species degradation"
PROSYN-PWY	"L-proline biosynthesis I (from L-glutamate)"
PWY-3022	"linamarin biosynthesis"
GLYCLEAV-PWY	"glycine cleavage"
DETOX1-PWY	"superoxide radicals degradation"
PWY-4981	"L-proline biosynthesis II (from arginine)"
PWY-7095	"3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis"
PWY0-381	"glycerol and glycerophosphodiester degradation"
PWY-2261	"ascorbate glutathione cycle"
PWY-4281	"L-proline biosynthesis IV"
PWY-861	"dhurrin biosynthesis"
PWY-6952	"glycerophosphodiester degradation"
PWY-4621	"arsenate detoxification II (glutaredoxin)"
PWY-5418	"phenol degradation I (aerobic)"
PWY-7088	"taxiphyllin biosynthesis"
GOLPDLCAT-PWY	"superpathway of glycerol degradation to 1,3-propanediol"
PHENOLDEG-PWY	"phenol degradation II (anaerobic)"
PWY-8081	"leucine-derived hydroxynitrile glucoside biosynthesis"
PWY-6131	"glycerol degradation II"
PWY-5990	"lotaustralin biosynthesis"
GLYCEROLMETAB-PWY	"glycerol degradation V"
PWY-7824	"prunasin and amygdalin biosynthesis"
PWY-7091	"linustatin bioactivation"
PWY-5063	"phytyl diphosphate biosynthesis"
PWY-5976	"dhurrin degradation"
PWY-6146	"<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism"
PWY-7089	"taxiphyllin bioactivation"
PWY-7093	"vicianin bioactivation"
PWY-3121	"linamarin degradation"
PWY-6011	"amygdalin and prunasin degradation"
PWY-7092	"neolinustatin bioactivation"
PWY-6002	"lotaustralin degradation"
PWY-6433	"hydroxylated fatty acid biosynthesis (plants)"
PWY-6710	"poly-hydroxy fatty acids biosynthesis"
PWY66-426	"hydrogen sulfide biosynthesis II (mammalian)"
PWY0-1534	"hydrogen sulfide biosynthesis I"
PWY-6534	"phenylethylamine degradation II"
PWY-6751	"superpathway of hydrogen production"
2PHENDEG-PWY	"phenylethylamine degradation I"
PWY-6765	"hydrogen production IV"
PWY-6785	"hydrogen production VIII"
PWY0-162	"superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"
PWY-6744	"hydrogen production I"
PWY-7176	"UTP and CTP <i>de novo</i> biosynthesis"
PWY-6759	"hydrogen production III"
PWY-5780	"hypericin biosynthesis"
PWY-6780	"hydrogen production VI"
PWY-5802	"alizarin biosynthesis"
PWY-6758	"hydrogen production II"
PWY-7080	"asterrate biosynthesis"
PWY-6565	"superpathway of polyamine biosynthesis III"
PWY-6772	"hydrogen production V"
PWY-5701	"shikonin biosynthesis"
GLYCGREAT-PWY	"creatine biosynthesis"
PWY-7731	"superpathway of photosynthetic hydrogen production"
PWY-5801	"lawsone biosynthesis"
POLYAMSYN-PWY	"superpathway of polyamine biosynthesis I"
PWY-7382	"lipoate biosynthesis and incorporation IV (yeast)"
PWY-7079	"geodin biosynthesis"
PHENYLALANINE-DEG1-PWY	"L-phenylalanine degradation I (aerobic)"
PWY-6158	"creatine-phosphate biosynthesis"
PWY0-522	"lipoate salvage I"
PWY-5371	"chrysophanol biosynthesis"
PWY-7158	"L-phenylalanine degradation V"
PWY-6562	"norspermidine biosynthesis"
PWY-6987	"lipoate biosynthesis and incorporation III (Bacillus)"
PWY-5795	"juglone biosynthesis"
ANAPHENOXI-PWY	"L-phenylalanine degradation II (anaerobic)"
PWY0-1303	"aminopropylcadaverine biosynthesis"
PWY0-501	"lipoate biosynthesis and incorporation I"
PWY-5987	"sorgoleone biosynthesis"
PWY-6318	"L-phenylalanine degradation IV (mammalian, via side chain)"
ARGSPECAT-PWY	"spermine biosynthesis"
PWY-6984	"lipoate salvage II"
PWY-7518	"atromentin biosynthesis"
PWY-8016	"L-tyrosine degradation V (Stickland reaction)"
PWY-5915	"phycoerythrobilin biosynthesis I"
URSIN-PWY	"ureide biosynthesis"
PWY0-1275	"lipoate biosynthesis and incorporation II"
PWY-8014	"L-phenylalanine degradation VI (Stickland reaction)"
POLYAMINSYN3-PWY	"superpathway of polyamine biosynthesis II"
PWY-5382	"hydrogen oxidation II (aerobic, NAD)"
PWY-5079	"L-phenylalanine degradation III"
PWY-7514	"L-tyrosine degradation IV (to 4-methylphenol)"
PWY-7710	"FeMo cofactor biosynthesis"
PWY-5907	"homospermidine biosynthesis"
P283-PWY	"hydrogen oxidation I (aerobic)"
PWY-6456	"serinol biosynthesis"
